sec,face_present,num_faces,face_area
222,True,2,0.041138261556625366
223,True,1,0.0035318327136337757
224,True,2,0.00343294907361269
225,True,1,0.0027036606334149837
226,True,1,0.00045292588765732944
227,True,2,0.05458969622850418
228,True,2,0.051975317299366
229,True,1,0.05861127749085426
230,True,1,0.06264235824346542
231,True,1,0.04598456621170044
232,False,0,0.0
233,False,0,0.0
234,True,1,0.03826926648616791
235,True,1,0.03459804877638817
236,True,2,0.03229275718331337
237,True,2,0.02779211290180683
238,True,2,0.026936927810311317
239,True,2,0.030750496312975883
240,True,2,0.038066208362579346
241,True,3,0.04007907211780548
242,True,2,0.03611430153250694
243,True,3,0.03609134256839752
244,True,3,0.0034081097692251205
245,True,5,0.010880814865231514
246,True,2,0.031185396015644073
247,True,3,0.03734498471021652
248,False,0,0.0
249,False,0,0.0
250,False,0,0.0
251,False,0,0.0
252,False,0,0.0
253,False,0,0.0
254,False,0,0.0
255,False,0,0.0
256,False,0,0.0
257,False,0,0.0
258,False,0,0.0
259,False,0,0.0
260,False,0,0.0
261,False,0,0.0
262,False,0,0.0
263,False,0,0.0
264,False,0,0.0
265,False,0,0.0
266,False,0,0.0
267,False,0,0.0
268,False,0,0.0
269,False,0,0.0
270,False,0,0.0
271,False,0,0.0
272,False,0,0.0
273,False,0,0.0
274,True,1,0.0003589880943764001
275,False,0,0.0
276,False,0,0.0
277,False,0,0.0
278,False,0,0.0
279,False,0,0.0
280,False,0,0.0
281,True,1,0.08484622836112976
282,True,1,0.009293081238865852
283,True,1,0.06484084576368332
284,False,0,0.0
285,False,0,0.0
286,False,0,0.0
287,False,0,0.0
288,False,0,0.0
289,True,2,0.061898697167634964
290,True,2,0.046951957046985626
291,True,2,0.09417145699262619
292,True,2,0.04894925281405449
293,True,2,0.05347307026386261
294,True,2,0.09512396901845932
295,True,2,0.04575574770569801
296,True,2,0.06664685159921646
297,True,2,0.07669249922037125
298,True,2,0.04566540569067001
299,True,2,0.08472763746976852
300,True,2,0.05092034488916397
301,True,2,0.051840368658304214
302,True,2,0.0999525785446167
303,True,2,0.04623240977525711
304,True,2,0.06172793731093407
305,False,0,0.0
306,False,0,0.0
307,False,0,0.0
308,False,0,0.0
309,False,0,0.0
310,False,0,0.0
311,True,5,0.023998335003852844
312,True,2,0.017246389761567116
313,True,5,0.06318012624979019
314,True,4,0.0628463625907898
315,True,6,0.064452163875103
316,True,4,0.059653040021657944
317,True,5,0.0685308426618576
318,True,5,0.06333211064338684
319,True,2,0.08171417564153671
320,True,2,0.08904625475406647
321,True,2,0.09368563443422318
322,True,2,0.09257756173610687
323,True,3,0.028245089575648308
324,True,2,0.026723496615886688
325,True,2,0.025380399078130722
326,True,4,0.033914387226104736
327,True,5,0.032701652497053146
328,True,2,0.08017687499523163
329,True,2,0.0793599933385849
330,True,2,0.07665899395942688
331,True,2,0.08026901632547379
332,True,2,0.07827966660261154
333,True,1,0.06980082392692566
334,True,1,0.07152754068374634
335,True,1,0.051387038081884384
336,True,2,0.08784189075231552
337,True,2,0.08953927457332611
338,True,2,0.06158936768770218
339,True,2,0.05420443043112755
340,True,2,0.06458257883787155
341,True,2,0.08040979504585266
342,True,3,0.09335991740226746
343,True,2,0.08903524279594421
344,True,3,0.06541462987661362
345,True,3,0.06333407759666443
346,True,3,0.06162348762154579
347,True,2,0.05691884458065033
348,True,2,0.08412760496139526
349,True,2,0.07979279011487961
350,True,2,0.08072549849748611
351,True,1,0.06196008250117302
352,True,1,0.06387782096862793
353,True,2,0.08493764698505402
354,True,4,0.03153542801737785
355,True,4,0.029991639778017998
356,True,4,0.03220539540052414
357,True,4,0.024976259097456932
358,False,0,0.0
